document_id_a,document_id_b,relation,confidence,evidence_note
springer:10.1134_S1064229319040136,pochvovedenie:Pochved1904013Semenov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=4, pages=440–450; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S106422931905003X,pochvovedenie:Pochved1905003Bobrov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=7, pages=859–871; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319050041,pochvovedenie:Pochved1905004Fedotov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=5, pages=586–594; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319050053,pochvovedenie:Pochved1905005Koshovskii,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=5, pages=529–543; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319050065,pochvovedenie:Pochved1905006Kuznetsov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=5, pages=633–642; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319050077,pochvovedenie:Pochved1905007Lukina,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=7, pages=827–842; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319050090,pochvovedenie:Pochved1905009Pilipenko,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=5, pages=578–585; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319050107,pochvovedenie:Pochved1905010Savin,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=5, pages=517–528; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319050120,pochvovedenie:Pochved1905012Zaidelman,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=5, pages=544–557; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319060024,pochvovedenie:Pochved1906002Alekseeva,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=6, pages=687–699; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S106422931906005X,pochvovedenie:Pochved1906005Chendev,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=6, pages=672–686; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319060061,pochvovedenie:Pochved1906006Ivanov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=6, pages=645–662; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319060073,pochvovedenie:Pochved1906007Kuzikova,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=6, pages=722–733; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319060097,pochvovedenie:Pochved1906009Maltsev,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=6, pages=755–766; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319060103,pochvovedenie:Pochved1906010Samsonova,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=6, pages=663–671; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319060115,pochvovedenie:Pochved1906011Sokolova,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=6, pages=743–754; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319060127,pochvovedenie:Pochved1906012Taskaeva,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=6, pages=711–721; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319060139,pochvovedenie:Pochved1906013Zlobina,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=6, pages=700–710; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319070020,pochvovedenie:Pochved1907002Chukov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=7, pages=891–898; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319070056,pochvovedenie:Pochved1907005Khitrov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=7, pages=843–858; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319070068,pochvovedenie:Pochved1907006Kiryushin,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=9, pages=1130–1139; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S106422931907007X,pochvovedenie:Pochved1907007Koroleva,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=7, pages=872–890; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319070081,pochvovedenie:Pochved1907008Kuznetsova,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=7, pages=803–816; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319070093,pochvovedenie:Pochved1907009Lodygin,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=7, pages=817–826; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S106422931907010X,pochvovedenie:Pochved1907010Maslov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=7, pages=793–802; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319070111,pochvovedenie:Pochved1907011Smirnova,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=7, pages=773–780; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319070123,pochvovedenie:Pochved1907012Sukhacheva,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=9, pages=1140–1154; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319070135,pochvovedenie:Pochved1907013Telesnina,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=9, pages=1114–1129; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319070147,pochvovedenie:Pochved1907014Vodyanitskii,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=9, pages=1104–1113; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319070159,pochvovedenie:Pochved1907015Yakimenko,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=7, pages=781–792; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319080039,pochvovedenie:Pochved1908003Avetov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=8, pages=901–909; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319080040,pochvovedenie:Pochved1908004Chernova,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=8, pages=1015–1026; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319080052,pochvovedenie:Pochved1908005ChervanI,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=8, pages=993–1003; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319080064,pochvovedenie:Pochved1908006ChervanII,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=8, pages=1004–1014; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
